accession	accession_version	strain	isolate	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	authors	full_authors	institution	url	genotype	MuV_genotype	taxon_id	MuV_genotype_nextclade_sh	MuV_genotype_nextclade_genome	MuV_genotype_nextclade_genome_new	Match
MT238816	MT238816.1	MuVs/Amsterdam.NLD/8.19/2[G]		2019-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238816	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238817	MT238817.1	MuVs/Apeldoorn.NLD/16.19[G]		2019-XX-XX	Europe	Netherlands	Apeldoorn		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238817	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238818	MT238818.1	MuVs/Brummen.NLD/10.19[G]		2019-XX-XX	Europe	Netherlands	Brummen		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238818	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238819	MT238819.1	MuVs/Delft.NLD/11.19[G]		2019-XX-XX	Europe	Netherlands	South Holland	Delft NL	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238819	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238820	MT238820.1	MuVs/Deventer.NLD/12.19[G]		2019-XX-XX	Europe	Netherlands	Deventer		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238820	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238821	MT238821.1	MuVs/Eindhoven.NLD/38.18[G]		2018-XX-XX	Europe	Netherlands	North Brabant	Eindhoven	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238821	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238822	MT238822.1	MuVs/Eindhoven.NLD/42.18/1[G]		2018-XX-XX	Europe	Netherlands	North Brabant	Eindhoven	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238822	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238823	MT238823.1	MuVs/Eindhoven.NLD/42.18/2[G]		2018-XX-XX	Europe	Netherlands	North Brabant	Eindhoven	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238823	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238824	MT238824.1	MuVs/Eindhoven.NLD/42.18/3[G]		2018-XX-XX	Europe	Netherlands	North Brabant	Eindhoven	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238824	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238825	MT238825.1	MuVs/Eindhoven.NLD/43.18/1[G]		2018-XX-XX	Europe	Netherlands	North Brabant	Eindhoven	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238825	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238826	MT238826.1	MuVs/Eindhoven.NLD/45.18[G]		2018-XX-XX	Europe	Netherlands	North Brabant	Eindhoven	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238826	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238827	MT238827.1	MuVs/Friesland.NLD/26.19[G]		2019-XX-XX	Europe	Netherlands	Friesland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238827	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238828	MT238828.1	MuVs/Gelderland.NLD/20.19[G]		2019-XX-XX	Europe	Netherlands	Gelderland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238828	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238829	MT238829.1	MuVs/Gelderland.NLD/24.19[G]		2019-XX-XX	Europe	Netherlands	Gelderland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238829	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238830	MT238830.1	MuVs/Gelderland.NLD/26.19[G]		2019-XX-XX	Europe	Netherlands	Gelderland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238830	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238831	MT238831.1	MuVs/Gelderland.NLD/26.19/2[G]		2019-XX-XX	Europe	Netherlands	Gelderland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238831	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238832	MT238832.1	MuVs/Gelderland.NLD/32.19[G]		2019-XX-XX	Europe	Netherlands	Gelderland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238832	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238833	MT238833.1	MuVs/Gelderland.NLD/46.19[G]		2019-XX-XX	Europe	Netherlands	Gelderland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238833	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238834	MT238834.1	MuVs/Groningen.NLD/16.19[G]		2019-XX-XX	Europe	Netherlands	Groningen		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238834	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238835	MT238835.1	MuVs/Groningen.NLD/9.19[G]		2019-XX-XX	Europe	Netherlands	Groningen		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238835	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238836	MT238836.1	MuVs/Limburg.NLD/39.19[G]		2019-XX-XX	Europe	Netherlands	Limburg NL		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238836	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238837	MT238837.1	MuVs/Maastricht.NLD/13.19[G]		2019-XX-XX	Europe	Netherlands	Maastricht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238837	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238838	MT238838.1	MuVs/Maastricht.NLD/42.18[G]		2018-XX-XX	Europe	Netherlands	Maastricht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238838	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238839	MT238839.1	MuVs/Middelburg.NLD/33.18[G]		2018-XX-XX	Europe	Netherlands	Middelburg		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238839	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238840	MT238840.1	MuVs/Musselkanaal.NLD/26.18[G]		2018-XX-XX	Europe	Netherlands	Musselkanaal		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238840	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238841	MT238841.1	MuVs/Noord-Brabant.NLD/36.19[G]		2019-XX-XX	Europe	Netherlands	North Brabant		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238841	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238842	MT238842.1	MuVs/Noord-Brabant.NLD/37.19[G]		2019-XX-XX	Europe	Netherlands	North Brabant		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238842	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238843	MT238843.1	MuVs/Noord-Brabant.NLD/39.19[G]		2019-XX-XX	Europe	Netherlands	North Brabant		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238843	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238844	MT238844.1	MuVs/Noord-Holland.NLD/16.19[G]		2019-XX-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238844	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238845	MT238845.1	MuVs/Noord-Holland.NLD/18.19[G]		2019-XX-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238845	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238846	MT238846.1	MuVs/Noord-Holland.NLD/23.19[G]		2019-XX-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238846	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238847	MT238847.1	MuVs/Noord-Holland.NLD/25.19[G]		2019-XX-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238847	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238848	MT238848.1	MuVs/Noord-Holland.NLD/50.19[G]		2019-XX-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238848	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238849	MT238849.1	MuVs/Noord-Holland.NLD/9.19[G]		2019-XX-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238849	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238850	MT238850.1	MuVs/Onstwedde.NLD/25.18[G]		2018-XX-XX	Europe	Netherlands	Onstwedde		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238850	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238851	MT238851.1	MuVs/Overloon.NLD/46.18[G]		2018-XX-XX	Europe	Netherlands	Overloon		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238851	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238852	MT238852.1	MuVs/Rotterdam.NLD/13.19[G]		2019-XX-XX	Europe	Netherlands	South Holland	Rotterdam NL	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238852	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238853	MT238853.1	MuVs/Rotterdam.NLD/18.19[G]		2019-XX-XX	Europe	Netherlands	South Holland	Rotterdam NL	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238853	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238854	MT238854.1	MuVs/Rotterdam.NLD/8.19[G]		2019-XX-XX	Europe	Netherlands	South Holland	Rotterdam NL	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238854	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238855	MT238855.1	MuVs/Someren.NLD/18.19[G]		2019-XX-XX	Europe	Netherlands	Someren		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238855	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238856	MT238856.1	MuVs/Tilburg.NLD/13.19[G]		2019-XX-XX	Europe	Netherlands	North Brabant	Tilburg	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238856	Mumps virus genotype G	G	1384672		G	A	FALSE
